id,segment,RID,delivery type,class,sub-class,no of items,location,departure city,departure state,address code,placement date,delivery date,price,discount,profit
33,Home Office,2583,Standard Class,fynota,colddrinks,13,South,Alexandria,Virginia,22304,01-01-2018,01-01-2018,155.35,0,0
34,Home Office,2582,Standard Class,kariox,phone,2,South,Alexandria,Virginia,22304,01-01-2018,01-01-2018,16.68,0,8.34
35,Home Office,2581,Standard Class,kariox,phone,3,South,Alexandria,Virginia,22304,01-01-2018,01-01-2018,19.44,0,9.3312
36,Home Office,2580,Standard Class,kariox,laptop,8,South,Alexandria,Virginia,22304,01-01-2018,01-01-2018,489.92,0,0
37,Home Office,2579,Standard Class,qexty,shorts,3,South,Alexandria,Virginia,22304,01-01-2018,01-01-2018,62.82,0,30.7818
38,Corporate,8150,First Class,kariox,headset,2,Central,Rapid City,South Dakota,57701,01-01-2018,01-01-2018,10.68,0,5.0196
39,Consumer,5464,First Class,kariox,phone,4,West,Scottsdale,Arizona,85254,01-01-2018,01-01-2018,56.064,0.2,19.6224
40,Consumer,5738,Standard Class,qexty,shorts,2,West,Los Angeles,California,90049,01-01-2018,01-01-2018,19.3,0,5.79
41,Corporate,5365,Second Class,kariox,battery,4,West,Springfield,Oregon,97477,01-01-2018,01-01-2018,64.864,0.2,6.4864
42,Consumer,594,Standard Class,fynota,chocolates,3,Central,Laredo,Texas,78041,01-01-2018,01-01-2018,31.2,0.2,9.75
43,Consumer,593,Standard Class,kariox,television,2,Central,Laredo,Texas,78041,01-01-2018,01-01-2018,9.344,0.2,1.168
44,Consumer,7662,Standard Class,kariox,headset,7,Central,Huntsville,Texas,77340,01-01-2018,01-01-2018,10.43,0.8,-18.2525
45,Consumer,7661,Standard Class,qexty,shorts,3,Central,Huntsville,Texas,77340,01-01-2018,01-01-2018,76.728,0.6,-53.7096
46,Home Office,7481,Standard Class,kariox,phone,1,South,Henderson,Kentucky,42420,01-01-2018,01-01-2018,6.54,0,3.0084
47,Home Office,7480,Standard Class,kariox,lighting,4,South,Henderson,Kentucky,42420,01-01-2018,01-01-2018,31.12,0,0.3112
48,Home Office,7479,Standard Class,fynota,colddrinks,4,South,Henderson,Kentucky,42420,01-01-2018,01-01-2018,755.96,0,204.1092
49,Home Office,7478,Standard Class,fynota,colddrinks,2,South,Henderson,Kentucky,42420,01-01-2018,01-01-2018,391.98,0,113.6742
50,Consumer,5463,First Class,kariox,headset,10,West,Scottsdale,Arizona,85254,01-01-2018,01-01-2018,32.34,0.7,-23.716
51,Home Office,7476,Standard Class,kariox,headset,2,South,Henderson,Kentucky,42420,01-01-2018,01-01-2018,609.98,0,274.491
52,Home Office,7475,Standard Class,qexty,tshirts,9,South,Henderson,Kentucky,42420,01-01-2018,01-01-2018,2573.82,0,746.4078
53,Corporate,7181,First Class,kariox,television,3,South,Athens,Georgia,30605,01-01-2018,01-01-2018,12.78,0,5.2398
54,Consumer,5328,,kariox,phone,3,West,Los Angeles,California,90049,01-01-2018,01-01-2018,19.44,0,9.3312
55,Consumer,1760,Standard Class,kariox,television,3,East,Philadelphia,Pennsylvania,19143,01-01-2018,01-01-2018,19.536,0.2,4.884
56,Home Office,742,Standard Class,kariox,headset,2,Central,Naperville,Illinois,60540,01-01-2018,01-01-2018,3.54,0.8,-5.487
57,Home Office,741,Standard Class,kariox,laptop,3,Central,Naperville,Illinois,60540,01-01-2018,01-01-2018,272.736,0.2,-64.7748
58,Home Office,740,Standard Class,kariox,tablet,3,Central,Naperville,Illinois,60540,01-01-2018,01-01-2018,11.784,0.2,4.2717
59,Corporate,866,Standard Class,kariox,tablet,1,South,Springfield,Virginia,22153,01-01-2018,01-01-2018,2.89,0,1.3583
60,Corporate,867,Standard Class,qexty,shorts,1,South,Springfield,Virginia,22153,01-01-2018,01-01-2018,51.94,0,21.2954
61,Home Office,7477,Standard Class,kariox,television,2,South,Henderson,Kentucky,42420,01-01-2018,01-01-2018,5.48,0,1.4796
62,Corporate,764,Second Class,kariox,watch,2,South,Bossier City,Louisiana,71111,01-01-2018,01-01-2018,11.36,0,5.3392
63,Consumer,717,First Class,qexty,shorts,2,East,Dover,Delaware,19901,01-01-2018,01-01-2018,9.94,0,3.0814
64,Consumer,974,Second Class,kariox,tablet,3,East,Philadelphia,Pennsylvania,19134,01-01-2018,01-01-2018,30.072,0.2,10.1493
65,Consumer,973,Second Class,kariox,headset,2,East,Philadelphia,Pennsylvania,19134,01-01-2018,01-01-2018,18.588,0.7,-13.6312
66,Consumer,972,Second Class,fynota,colddrinks,3,East,Philadelphia,Pennsylvania,19134,01-01-2018,01-01-2018,124.2,0.4,-31.05
67,Consumer,971,Second Class,qexty,shorts,6,East,Philadelphia,Pennsylvania,19134,01-01-2018,01-01-2018,127.104,0.2,28.5984
68,Corporate,6475,First Class,qexty,pants,4,East,Philadelphia,Pennsylvania,19140,01-01-2018,01-01-2018,61.96,0.5,-53.2856
69,Consumer,9630,Standard Class,kariox,headset,2,East,Newark,Ohio,43055,01-01-2018,01-01-2018,3.438,0.7,-2.5212
70,Consumer,9629,Standard Class,kariox,phone,7,East,Newark,Ohio,43055,01-01-2018,01-01-2018,37.408,0.2,13.0928
71,Consumer,1914,First Class,fynota,chocolates,5,South,Roswell,Georgia,30076,01-01-2018,01-01-2018,149.95,0,65.978
72,Consumer,4939,Standard Class,qexty,pants,3,West,San Francisco,California,94109,01-01-2018,01-01-2018,333.999,0.15,3.9294
73,Consumer,4938,Standard Class,kariox,laptop,5,West,San Francisco,California,94109,01-01-2018,01-01-2018,1325.85,0,238.653
74,Consumer,2979,Second Class,qexty,tshirts,6,South,Mount Pleasant,South Carolina,29464,01-01-2018,01-01-2018,545.94,0,87.3504
75,Corporate,768,Second Class,kariox,laptop,6,South,Bossier City,Louisiana,71111,01-01-2018,01-01-2018,572.58,0,34.3548
76,Corporate,767,Second Class,kariox,headset,3,South,Bossier City,Louisiana,71111,01-01-2018,01-01-2018,5.64,0,2.7072
77,Corporate,766,Second Class,fynota,chocolates,6,South,Bossier City,Louisiana,71111,01-01-2018,01-01-2018,646.74,0,258.696
78,Consumer,4940,Standard Class,kariox,television,5,West,San Francisco,California,94109,01-01-2018,01-01-2018,19.9,0,6.567
79,Corporate,765,Second Class,kariox,watch,3,South,Bossier City,Louisiana,71111,01-01-2018,01-01-2018,50.94,0,25.47
80,Consumer,457,Standard Class,qexty,tshirts,2,West,Concord,California,94521,01-02-2018,01-02-2018,129.568,0.2,-24.294
81,Consumer,1334,Standard Class,kariox,battery,2,Central,Dallas,Texas,75220,01-02-2018,01-02-2018,7.96,0.8,-13.93
82,Consumer,1333,Standard Class,kariox,headset,3,Central,Dallas,Texas,75220,01-02-2018,01-02-2018,1.08,0.8,-1.728
83,Corporate,7438,Standard Class,kariox,headset,5,West,Seattle,Washington,98105,01-02-2018,01-02-2018,21.36,0.2,7.209
84,Consumer,5467,Second Class,kariox,phone,3,Central,Houston,Texas,77095,01-02-2018,01-02-2018,16.176,0.2,6.066
85,Corporate,9763,Standard Class,kariox,battery,2,West,Seattle,Washington,98103,01-02-2018,01-02-2018,81.96,0,22.9488
86,Corporate,9762,Standard Class,fynota,chocolates,3,West,Seattle,Washington,98103,01-02-2018,01-02-2018,239.97,0,86.3892
87,Consumer,9516,Standard Class,kariox,television,14,Central,Chicago,Illinois,60653,01-02-2018,01-02-2018,54.208,0.2,8.8088
88,Corporate,9764,Standard Class,kariox,charger,2,West,Seattle,Washington,98103,01-02-2018,01-02-2018,238.62,0,4.7724
89,Consumer,6082,Same Day,qexty,shorts,5,Central,Lubbock,Texas,79424,01-02-2018,01-02-2018,25.16,0.6,-11.322
90,Consumer,5512,Standard Class,kariox,phone,4,West,Medford,Oregon,97504,01-02-2018,01-03-2018,32.896,0.2,11.1024
91,Corporate,4521,Standard Class,fynota,chocolates,3,Central,Richmond,Indiana,47374,01-02-2018,01-02-2018,62.31,0,22.4316
92,Corporate,4522,Standard Class,qexty,shorts,4,Central,Richmond,Indiana,47374,01-02-2018,01-02-2018,20.32,0,6.9088
93,Home Office,8504,Standard Class,kariox,phone,2,West,Los Angeles,California,90049,01-02-2018,01-02-2018,12.96,0,6.2208
94,Consumer,2883,Standard Class,kariox,headset,5,Central,Woodstock,Illinois,60098,01-02-2018,01-02-2018,8.85,0.8,-13.7175
95,Consumer,7611,First Class,kariox,phone,3,West,Moreno Valley,California,92553,01-02-2018,01-02-2018,19.44,0,9.3312
96,Home Office,6530,Standard Class,kariox,tablet,3,Central,El Paso,Texas,79907,01-02-2018,01-02-2018,6.936,0.2,2.3409
97,Home Office,6531,Standard Class,kariox,headset,3,Central,El Paso,Texas,79907,01-02-2018,01-02-2018,4.428,0.8,-6.8634
98,Consumer,5513,Standard Class,kariox,phone,3,West,Medford,Oregon,97504,01-02-2018,01-03-2018,22.776,0.2,7.6869
99,Consumer,9464,First Class,kariox,television,4,East,Columbus,Ohio,43229,01-02-2018,01-03-2018,19.456,0.2,3.4048
100,Consumer,9260,Second Class,kariox,laptop,2,Central,Columbia,Missouri,65203,01-02-2018,01-02-2018,64.96,0,2.5984
101,Consumer,8223,Standard Class,kariox,laptop,2,Central,Arlington,Texas,76017,01-02-2018,01-02-2018,12.624,0.2,-2.5248
102,Consumer,9259,Second Class,kariox,headset,3,Central,Columbia,Missouri,65203,01-02-2018,01-02-2018,51.9,0,24.393
103,Consumer,9258,Second Class,qexty,shorts,3,Central,Columbia,Missouri,65203,01-02-2018,01-02-2018,332.94,0,53.2704
104,Consumer,9257,Second Class,kariox,headset,2,Central,Columbia,Missouri,65203,01-02-2018,01-02-2018,9.64,0,4.4344
105,Consumer,541,First Class,fynota,chocolates,6,Central,Green Bay,Wisconsin,54302,01-02-2018,01-02-2018,468.9,0,206.316
106,Home Office,1704,Standard Class,kariox,lighting,5,West,San Diego,California,92037,01-02-2018,01-02-2018,12.35,0,5.8045
107,Consumer,9139,Standard Class,fynota,colddrinks,5,South,Saint Petersburg,Florida,33710,01-02-2018,01-02-2018,180.96,0.2,13.572
108,Consumer,1518,Second Class,kariox,headset,2,West,Seattle,Washington,98105,01-02-2018,01-02-2018,83.84,0.2,27.248
109,Consumer,1519,Second Class,kariox,headset,3,West,Seattle,Washington,98105,01-02-2018,01-02-2018,13.272,0.2,4.3134
110,Home Office,1544,Standard Class,kariox,headset,3,West,San Diego,California,92024,01-02-2018,01-02-2018,82.896,0.2,29.0136
111,Home Office,1545,Standard Class,kariox,phone,4,West,San Diego,California,92024,01-02-2018,01-02-2018,34.24,0,16.0928
112,Corporate,8585,Second Class,kariox,headset,2,West,Escondido,California,92025,01-02-2018,01-02-2018,17.248,0.2,6.0368
113,Corporate,1998,First Class,kariox,tablet,4,South,Chesapeake,Virginia,23320,01-02-2018,01-02-2018,15,0,7.2
114,Corporate,1999,First Class,fynota,colddrinks,1,South,Chesapeake,Virginia,23320,01-02-2018,01-02-2018,161.61,0,42.0186
115,Consumer,9138,Standard Class,kariox,headset,2,South,Saint Petersburg,Florida,33710,01-02-2018,01-02-2018,18.336,0.7,-12.224
116,Consumer,8981,Second Class,kariox,headset,2,Central,Romeoville,Illinois,60441,01-02-2018,01-02-2018,8.952,0.8,-14.7708
117,Corporate,2000,First Class,fynota,colddrinks,5,South,Chesapeake,Virginia,23320,01-02-2018,01-02-2018,144.95,0,42.0355
118,Consumer,9256,Second Class,kariox,tablet,3,Central,Columbia,Missouri,65203,01-02-2018,01-02-2018,14.94,0,6.8724
119,Consumer,5633,Standard Class,kariox,headset,2,South,Chesapeake,Virginia,23320,01-02-2018,01-02-2018,17.46,0,8.2062
120,Consumer,5632,Standard Class,qexty,hoodies,6,South,Chesapeake,Virginia,23320,01-02-2018,01-02-2018,1256.22,0,75.3732
121,Consumer,9255,Second Class,qexty,tshirts,1,Central,Columbia,Missouri,65203,01-02-2018,01-02-2018,60.89,0,15.2225
122,Home Office,9267,First Class,qexty,shorts,2,West,North Las Vegas,Nevada,89031,01-02-2018,01-02-2018,14.56,0,5.5328
123,Corporate,8736,Second Class,kariox,laptop,4,East,New York City,New York,10024,01-02-2018,01-02-2018,64.96,0,9.744
124,Corporate,850,Standard Class,fynota,chocolates,7,East,Linden,New Jersey,7036,01-02-2018,01-02-2018,115.36,0,49.6048
125,Consumer,5631,Standard Class,fynota,chocolates,3,South,Chesapeake,Virginia,23320,01-02-2018,01-02-2018,234.45,0,103.158
126,Corporate,6166,First Class,qexty,shorts,3,South,Lakeland,Florida,33801,01-03-2018,01-03-2018,20.016,0.2,5.5044
127,Corporate,7585,Standard Class,kariox,tablet,5,South,Springfield,Virginia,22153,01-03-2018,01-03-2018,14.4,0,6.624
128,Corporate,6167,First Class,fynota,chocolates,2,South,Lakeland,Florida,33801,01-03-2018,01-03-2018,170.24,0.2,53.2
129,Consumer,196,Standard Class,kariox,television,2,East,Hamilton,Ohio,45011,01-03-2018,01-03-2018,7.408,0.2,1.2038
130,Consumer,197,Standard Class,kariox,television,3,East,Hamilton,Ohio,45011,01-03-2018,01-03-2018,6.048,0.2,1.5876
131,Corporate,5461,Standard Class,kariox,laptop,1,South,Asheville,North Carolina,28806,01-03-2018,01-03-2018,16.272,0.2,-3.8646
132,Corporate,7584,Standard Class,fynota,colddrinks,7,South,Springfield,Virginia,22153,01-03-2018,01-03-2018,3499.93,0,909.9818
133,Corporate,7586,Standard Class,kariox,phone,3,South,Springfield,Virginia,22153,01-03-2018,01-03-2018,122.97,0,60.2553
134,Consumer,8346,Standard Class,qexty,tshirts,3,South,Knoxville,Tennessee,37918,01-03-2018,01-03-2018,218.376,0.2,-10.9188
135,Corporate,7588,Standard Class,kariox,headset,3,South,Springfield,Virginia,22153,01-03-2018,01-03-2018,122.94,0,59.0112
136,Consumer,8344,Standard Class,kariox,tablet,5,South,Knoxville,Tennessee,37918,01-03-2018,01-03-2018,59.2,0.2,22.2
137,Consumer,8345,Standard Class,qexty,shorts,3,South,Knoxville,Tennessee,37918,01-03-2018,01-03-2018,32.952,0.2,6.5904
138,Consumer,1768,Standard Class,kariox,headset,4,South,Greensboro,North Carolina,27405,01-03-2018,01-03-2018,7.644,0.7,-5.8604
139,Consumer,1769,Standard Class,kariox,headset,5,South,Greensboro,North Carolina,27405,01-03-2018,01-03-2018,51.465,0.7,-39.4565
140,Corporate,2871,Standard Class,kariox,phone,3,West,Tucson,Arizona,85705,01-03-2018,01-03-2018,74.352,0.2,23.235
141,Corporate,6165,First Class,qexty,shorts,3,South,Lakeland,Florida,33801,01-03-2018,01-03-2018,4.992,0.2,1.3728
142,Corporate,7587,Standard Class,kariox,television,4,South,Springfield,Virginia,22153,01-03-2018,01-03-2018,9.32,0,2.7028
143,Corporate,6164,First Class,kariox,headset,5,South,Lakeland,Florida,33801,01-03-2018,01-03-2018,33.57,0.7,-25.737
144,Home Office,2700,Standard Class,kariox,television,3,South,Jacksonville,Florida,32216,01-03-2018,01-03-2018,8.016,0.2,1.002
145,Corporate,6162,First Class,kariox,tablet,4,South,Lakeland,Florida,33801,01-03-2018,01-03-2018,11.808,0.2,3.9852
146,Corporate,7430,Standard Class,kariox,phone,2,South,Jackson,Mississippi,39212,01-03-2018,01-03-2018,12.96,0,6.3504
147,Corporate,7431,Standard Class,kariox,phone,4,South,Jackson,Mississippi,39212,01-03-2018,01-03-2018,16,0,7.68
148,Corporate,7432,Standard Class,kariox,battery,3,South,Jackson,Mississippi,39212,01-03-2018,01-03-2018,32.67,0,8.4942
149,Corporate,8011,Second Class,kariox,phone,6,East,Philadelphia,Pennsylvania,19134,01-03-2018,01-03-2018,126.624,0.2,41.1528
150,Home Office,2697,Standard Class,fynota,sweets,4,South,Jacksonville,Florida,32216,01-03-2018,01-03-2018,821.3,0.5,-16.426
151,Home Office,2698,Standard Class,fynota,sweets,6,South,Jacksonville,Florida,32216,01-03-2018,01-03-2018,22638.48,0.5,-1811.0784
152,Home Office,2699,Standard Class,kariox,phone,4,South,Jacksonville,Florida,32216,01-03-2018,01-03-2018,21.376,0.2,7.4816
153,Corporate,6163,First Class,kariox,laptop,3,South,Lakeland,Florida,33801,01-03-2018,01-03-2018,26.16,0.2,1.962
154,Corporate,2872,Standard Class,qexty,tshirts,3,West,Tucson,Arizona,85705,01-03-2018,01-03-2018,314.352,0.2,-35.3646
155,Home Office,2702,Standard Class,kariox,lighting,3,South,Jacksonville,Florida,32216,01-03-2018,01-03-2018,18.936,0.2,5.9175
156,Home Office,2703,Standard Class,qexty,shorts,3,South,Jacksonville,Florida,32216,01-03-2018,01-03-2018,122.352,0.2,15.294
157,Home Office,6152,Second Class,qexty,pants,10,West,San Francisco,California,94110,01-03-2018,01-03-2018,1198.33,0.15,70.49
158,Home Office,7328,Standard Class,qexty,shorts,2,West,Burbank,California,91505,01-03-2018,01-03-2018,111,0,14.43
159,Home Office,7329,Standard Class,fynota,sweets,4,West,Burbank,California,91505,01-03-2018,01-03-2018,1279.968,0.2,415.9896
160,Home Office,7330,Standard Class,kariox,laptop,7,West,Burbank,California,91505,01-03-2018,01-03-2018,1856.19,0,334.1142
161,Corporate,6161,First Class,fynota,colddrinks,3,South,Lakeland,Florida,33801,01-03-2018,01-03-2018,323.976,0.2,28.3479
162,Home Office,2701,Standard Class,qexty,shorts,2,South,Jacksonville,Florida,32216,01-03-2018,01-03-2018,30.768,0.2,8.0766
163,Consumer,4341,Same Day,kariox,television,2,Central,Portage,Indiana,46368,01-03-2018,01-03-2018,16.28,0,6.512
164,Corporate,4245,Standard Class,fynota,chocolates,3,West,Los Angeles,California,90036,01-03-2018,01-03-2018,66.3,0,8.619
165,Consumer,3556,Second Class,fynota,colddrinks,6,West,Los Angeles,California,90036,01-03-2018,01-03-2018,604.752,0.2,37.797
166,Corporate,5285,Standard Class,kariox,tablet,3,West,Seattle,Washington,98105,01-03-2018,01-04-2018,44.4,0,22.2
167,Corporate,5954,First Class,kariox,television,5,East,New York City,New York,10009,01-03-2018,01-03-2018,10.5,0,2.94
168,Consumer,6139,Standard Class,qexty,pants,2,West,San Francisco,California,94110,01-03-2018,01-04-2018,205.666,0.15,-12.098
169,Home Office,7630,First Class,kariox,watch,5,Central,Brownsville,Texas,78521,01-03-2018,01-04-2018,335.72,0.2,113.3055
170,Home Office,7631,First Class,fynota,colddrinks,7,Central,Brownsville,Texas,78521,01-03-2018,01-04-2018,251.944,0.2,88.1804
171,Home Office,7632,First Class,qexty,tshirts,7,Central,Brownsville,Texas,78521,01-03-2018,01-04-2018,127.302,0.3,-9.093
172,Consumer,8431,Standard Class,kariox,laptop,2,Central,Apple Valley,Minnesota,55124,01-03-2018,01-04-2018,129.3,0,6.465
173,Corporate,5284,Standard Class,kariox,laptop,3,West,Seattle,Washington,98105,01-03-2018,01-04-2018,15.84,0,0
174,Consumer,2230,Standard Class,kariox,headset,2,West,San Francisco,California,94122,01-03-2018,01-04-2018,673.568,0.2,252.588
175,Consumer,4712,Same Day,kariox,headset,1,East,Philadelphia,Pennsylvania,19120,01-03-2018,01-03-2018,0.852,0.7,-0.5964
176,Consumer,5049,Standard Class,kariox,headset,7,Central,Chicago,Illinois,60610,01-03-2018,01-04-2018,8.134,0.8,-13.8278
177,Consumer,5050,Standard Class,fynota,chocolates,2,Central,Chicago,Illinois,60610,01-03-2018,01-04-2018,79.984,0.2,13.9972
178,Corporate,5480,Standard Class,kariox,headset,1,South,Miami,Florida,33180,01-03-2018,01-04-2018,1.869,0.7,-1.3083
179,Consumer,9566,Same Day,qexty,tshirts,7,South,Tampa,Florida,33614,01-03-2018,01-03-2018,1125.488,0.2,98.4802
180,Consumer,9567,Same Day,kariox,headset,5,South,Tampa,Florida,33614,01-03-2018,01-03-2018,12.645,0.7,-10.116
181,Consumer,9568,Same Day,kariox,television,2,South,Tampa,Florida,33614,01-03-2018,01-03-2018,4.032,0.2,1.0584
182,Consumer,2231,Standard Class,kariox,battery,2,West,San Francisco,California,94122,01-03-2018,01-04-2018,52.98,0,14.8344
183,Consumer,3555,Second Class,kariox,laptop,2,West,Los Angeles,California,90036,01-03-2018,01-03-2018,330.4,0,85.904
184,Consumer,2897,Standard Class,kariox,television,5,East,Long Beach,New York,11561,01-03-2018,01-04-2018,49.65,0,20.853
185,Home Office,9900,Standard Class,qexty,hoodies,1,East,Springfield,Ohio,45503,01-03-2018,01-04-2018,330.588,0.4,-143.2548
186,Consumer,6591,First Class,kariox,tablet,3,South,Delray Beach,Florida,33445,01-03-2018,01-03-2018,9.912,0.2,3.2214
187,Consumer,4480,Standard Class,kariox,phone,5,East,New York City,New York,10024,01-03-2018,01-03-2018,24.9,0,11.703
188,Consumer,7802,Second Class,qexty,shorts,2,West,Fresno,California,93727,01-03-2018,01-03-2018,40.48,0,14.5728
189,Consumer,2433,Standard Class,qexty,tshirts,7,East,New York City,New York,10009,01-03-2018,01-04-2018,366.786,0.1,65.2064
190,Consumer,9307,Standard Class,kariox,television,2,West,San Francisco,California,94110,01-03-2018,01-03-2018,6.56,0,1.9024
191,Consumer,9308,Standard Class,kariox,television,2,West,San Francisco,California,94110,01-03-2018,01-03-2018,14.88,0,3.72
192,Consumer,9309,Standard Class,fynota,chocolates,4,West,San Francisco,California,94110,01-03-2018,01-03-2018,45.48,0,15.918
193,Consumer,7306,Standard Class,qexty,hoodies,3,Central,Plano,Texas,75023,01-03-2018,01-04-2018,890.841,0.3,-152.7156
194,Consumer,9310,Standard Class,kariox,television,6,West,San Francisco,California,94110,01-03-2018,01-03-2018,25.44,0,9.9216
195,Corporate,9052,Second Class,kariox,television,2,West,San Francisco,California,94122,01-03-2018,01-03-2018,3.36,0,0.84
196,Corporate,9053,Second Class,kariox,headset,4,West,San Francisco,California,94122,01-03-2018,01-03-2018,27.936,0.2,9.4284
197,Corporate,9054,Second Class,fynota,colddrinks,2,West,San Francisco,California,94122,01-03-2018,01-03-2018,28.784,0.2,2.8784
198,Consumer,9660,Second Class,kariox,tablet,5,West,Pomona,California,91767,01-03-2018,01-03-2018,18.75,0,9
199,Consumer,7840,Standard Class,kariox,watch,3,Central,Des Moines,Iowa,50315,01-03-2018,01-04-2018,6.12,0,2.8764
200,Consumer,7841,Standard Class,qexty,hoodies,4,Central,Des Moines,Iowa,50315,01-03-2018,01-04-2018,1184.72,0,106.6248
201,Home Office,8464,Standard Class,fynota,colddrinks,3,West,Albuquerque,New Mexico,87105,01-03-2018,01-04-2018,302.376,0.2,22.6782
202,Corporate,7429,Standard Class,kariox,headset,2,South,Jackson,Mississippi,39212,01-03-2018,01-03-2018,30.44,0,14.9156
203,Corporate,7428,Standard Class,kariox,headset,3,South,Jackson,Mississippi,39212,01-03-2018,01-03-2018,11.43,0,5.3721
204,Corporate,1891,Standard Class,kariox,phone,2,West,Huntington Beach,California,92646,01-03-2018,01-03-2018,10.56,0,4.752
205,Consumer,5102,Same Day,kariox,phone,1,Central,Dallas,Texas,75217,01-03-2018,01-03-2018,5.184,0.2,1.8792
206,Corporate,7249,Standard Class,kariox,laptop,8,East,Columbus,Ohio,43229,01-03-2018,01-03-2018,44.672,0.2,-10.0512
207,Consumer,7349,Standard Class,kariox,battery,3,Central,Houston,Texas,77095,01-03-2018,01-03-2018,176.772,0.8,-459.6072
208,Consumer,8712,Standard Class,qexty,hoodies,3,West,San Diego,California,92037,01-03-2018,01-03-2018,626.352,0.2,-23.4882
209,Consumer,1565,Same Day,kariox,laptop,5,South,Columbia,South Carolina,29203,01-03-2018,01-03-2018,354.9,0,17.745
